id;title;url;cover;rate
26742730;浪矢解忧杂货店;https://movie.douban.com/subject/26742730/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2511434383.jpg;7.2
27042405;大坏狐狸的故事;https://movie.douban.com/subject/27042405/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2513435650.jpg;8.3
26837952;游戏人生ZERO;https://movie.douban.com/subject/26837952/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2441007626.jpg;8.6
26378579;王牌特工2：黄金圈;https://movie.douban.com/subject/26378579/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2499792043.jpg;7.0
27000061;我能说;https://movie.douban.com/subject/27000061/;https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2498433749.jpg;8.8
26822230;摩天轮;https://movie.douban.com/subject/26822230/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2499572915.jpg;7.1
26957500;老兽;https://movie.douban.com/subject/26957500/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2507370070.jpg;7.0
26984538;卧底巨星;https://movie.douban.com/subject/26984538/;https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2508908269.jpg;3.7
25788426;电锯惊魂8：竖锯;https://movie.douban.com/subject/25788426/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2499761124.jpg;6.8
26761256;钢之炼金术师;https://movie.douban.com/subject/26761256/;https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2498172067.jpg;4.6
3578939;缩小人生;https://movie.douban.com/subject/3578939/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2505684182.jpg;5.4
26698601;快乐结局;https://movie.douban.com/subject/26698601/;https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2496674847.jpg;7.4
26704137;茉莉牌局;https://movie.douban.com/subject/26704137/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2499148863.jpg;7.2
26425068;追龙;https://movie.douban.com/subject/26425068/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2499052494.jpg;7.4
11600078;目击者之追凶;https://movie.douban.com/subject/11600078/;https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2494647817.jpg;8.1
25846857;公牛历险记;https://movie.douban.com/subject/25846857/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2510825300.jpg;7.4
26775933;暴雪将至;https://movie.douban.com/subject/26775933/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2505160594.jpg;7.0
26950070;垫底联盟;https://movie.douban.com/subject/26950070/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2505701555.jpg;4.0
26035290;悟空传;https://movie.douban.com/subject/26035290/;https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2475060299.jpg;5.1
25884801;记忆大师;https://movie.douban.com/subject/25884801/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2455156816.jpg;7.3
26790961;闪光少女;https://movie.douban.com/subject/26790961/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2494275431.jpg;7.4
26811587;大护法;https://movie.douban.com/subject/26811587/;https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2490948849.jpg;7.8
21328095;科洛弗悖论;https://movie.douban.com/subject/21328095/;https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2512711499.jpg;5.8
26270502;绣春刀II：修罗战场;https://movie.douban.com/subject/26270502/;https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2492665487.jpg;7.3
25723583;英伦对决;https://movie.douban.com/subject/25723583/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2499135561.jpg;7.2
25808075;猩球崛起3：终极之战;https://movie.douban.com/subject/25808075/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2494096554.jpg;6.9
